"fiscal_year","is_above_line","org_id","est_doc","covid_measure_id","vote","stat"
2021,1,280,"MAINS","COV082",5409881655,1918345
2021,1,280,"MAINS","COV112",15270641,1200549
2021,1,280,"MAINS","COV113",424667761,38946641
2021,1,280,"MAINS","COV115",1743492433,2430000
2021,1,280,"MAINS","COV118",236173061,19826939
2021,1,288,"MAINS","COV154",66402,17929
2021,1,326,"MAINS","COV114",12332000,2195910
2021,1,138,"MAINS","COV101",58034450,93662
2021,1,140,"MAINS","COV010",15000000,
2021,1,140,"MAINS","COV134",40900000,270000
2021,1,140,"MAINS","COV145",2671957,25597
2021,1,12,"SEA","COV134",30888862,190926
2021,1,12,"SEA","COV145",749473,9911
2021,1,46,"SEA","COV087",358271,41729
2021,1,74,"SEA","COV082",15000000,
2021,1,42,"SEA","COV091",258000000,
2021,1,86,"SEA","COV134",1928000,13500
2021,1,117,"SEA","COV146",11838437,3196378
2021,1,150,"SEA","COV134",18132000,121500
2021,1,150,"SEA","COV145",8133214,76790
2021,1,125,"SEA","COV066",140532925,470705
2021,1,141,"SEA","COV134",44355000,303750
2021,1,141,"SEA","COV145",3861256,25597
2021,1,127,"SEA","COV082",374188241,4241307
2021,1,127,"SEA","COV113",21242428,2760958
2021,1,127,"SEA","COV121",502469831,161752
2021,1,127,"SEA","COV123",44169149,223088
2021,1,127,"SEA","COV124",450000,
2021,1,128,"SEA","COV020",,71812
2021,1,128,"SEA","COV025",,645760740
2021,1,128,"SEA","COV040",,11340664
2021,1,128,"SEA","COV084",12989068,210932
2021,1,128,"SEA","COV087",91898833,
2021,1,128,"SEA","COV106",,3430000000
2021,1,128,"SEA","COV126",,2380000000
2021,1,128,"SEA","COV127",,4525000000
2021,1,128,"SEA","COV140",20165317,
2021,1,128,"SEA","COV149",,813523
2021,1,128,"SEA","COV152",92579049,5905599
2021,1,348,"SEA","COV045",2125000,
2021,1,348,"SEA","COV124",92144616,1375846
2021,1,348,"SEA","COV125",122291136,331421
2021,1,130,"SEA","COV010",261523904,543741
2021,1,130,"SEA","COV082",20000000,
2021,1,130,"SEA","COV134",18128205,123829
2021,1,130,"SEA","COV141",398246,96714
2021,1,130,"SEA","COV145",1420876,66339
2021,1,134,"SEA","COV062",569097842,1346144
2021,1,228,"SEA","COV010",11090800,356400
2021,1,228,"SEA","COV024",2389765,531495
2021,1,228,"SEA","COV082",88000000,
2021,1,228,"SEA","COV083",33758555,1952226
2021,1,230,"SEA","COV010",5000000,
2021,1,280,"SEA","COV002",37200000,
2021,1,280,"SEA","COV010",105295190,1078127
2021,1,280,"SEA","COV082",5409881655,1918345
2021,1,280,"SEA","COV112",15270641,1200549
2021,1,280,"SEA","COV113",424667761,38946641
2021,1,280,"SEA","COV115",1743492433,2430000
2021,1,280,"SEA","COV118",236173061,19826939
2021,1,288,"SEA","COV154",66402,17929
2021,1,326,"SEA","COV114",12332000,2195910
2021,1,138,"SEA","COV101",58034450,93662
2021,1,140,"SEA","COV010",15000000,
2021,1,140,"SEA","COV134",40900000,270000
2021,1,140,"SEA","COV145",2671957,25597
