dept_code,dimensions,ppl_last_year_5,ppl_last_year_4,ppl_last_year_3,ppl_last_year_2,ppl_last_year,avg_share
FORDQ,age45to49,53,47,42,46,47,0.1393
FORDQ,age50to54,59,57,65,60,61,0.17902
FORDQ,age55to59,41,50,49,53,51,0.14464
FORDQ,age60to64,15,14,17,16,12,0.04386
FORDQ,age65plus,3,8,8,12,7,0.02253
FTRAC,age20less,.,1,1,1,.,0.00164
FTRAC,age20to24,25,12,27,36,41,0.07713
FTRAC,age25to29,51,38,33,43,42,0.11324
FTRAC,age30to34,57,53,56,63,59,0.15755
FTRAC,age35to39,67,70,61,51,51,0.16411
FTRAC,age40to44,73,67,68,61,57,0.17834
FTRAC,age45to49,46,49,53,64,67,0.15263
FTRAC,age50to54,30,35,30,30,33,0.08643
FTRAC,age55to59,20,16,21,20,17,0.05142
FTRAC,age60to64,5,6,4,5,11,0.01696
FTRAC,age65plus,.,.,1,.,.,0.00055
GG,age20less,.,.,1,.,1,0.00255
GG,age20to24,6,1,6,7,7,0.03444
GG,age25to29,10,13,12,14,11,0.07653
GG,age30to34,15,14,15,17,14,0.09566
GG,age35to39,24,24,27,23,17,0.14668
GG,age40to44,23,26,25,31,24,0.16454
GG,age45to49,21,21,16,14,23,0.12117
GG,age50to54,25,23,26,25,20,0.15179
GG,age55to59,18,17,15,21,17,0.11224
GG,age60to64,9,7,6,6,5,0.04209
GG,age65plus,7,9,7,8,10,0.0523
GSC,age20less,15,19,18,20,36,0.00177
GSC,age20to24,329,298,380,400,582,0.03252
GSC,age25to29,957,843,790,740,805,0.06761
GSC,age30to34,1281,1262,1227,1210,1303,0.10273
GSC,age35to39,1539,1604,1650,1638,1770,0.1341
GSC,age40to44,1545,1507,1589,1669,1844,0.13333
GSC,age45to49,1895,1826,1767,1740,1780,0.14729
GSC,age50to54,2231,2214,2153,2101,2126,0.177
GSC,age55to59,1515,1572,1621,1578,1661,0.12994
GSC,age60to64,632,606,655,700,722,0.0542
GSC,age65plus,205,216,242,265,265,0.01951
H,age20less,6,11,5,13,11,0.00099
H,age20to24,226,213,204,287,318,0.02676
H,age25to29,774,633,486,456,473,0.06051
H,age30to34,1314,1215,1086,1025,948,0.11982
H,age35to39,1521,1464,1491,1482,1463,0.15912
H,age40to44,1395,1447,1420,1458,1531,0.15548
H,age45to49,1429,1364,1321,1343,1412,0.14729
H,age50to54,1405,1376,1398,1361,1375,0.14827
H,age55to59,957,968,987,1038,1035,0.10689
H,age60to64,481,468,483,532,557,0.05406
H,age65plus,193,182,198,194,204,0.02082
HMIRC,age20less,2,.,.,.,.,0.06452
HMIRC,age25to29,2,.,.,.,.,0.06452
HMIRC,age30to34,1,.,.,.,.,0.03226
HMIRC,age35to39,3,.,.,.,.,0.09677
HMIRC,age40to44,7,.,.,.,.,0.22581
HMIRC,age45to49,8,.,.,.,.,0.25806
HMIRC,age50to54,2,.,.,.,.,0.06452
HMIRC,age55to59,5,.,.,.,.,0.16129
HMIRC,age60to64,1,.,.,.,.,0.03226
HRSD,age20less,17,23,89,61,46,0.00217
HRSD,age20to24,447,580,775,876,886,0.03273
HRSD,age25to29,1429,1511,1570,1815,2049,0.0769
HRSD,age30to34,2161,2389,2451,2494,2697,0.11197
HRSD,age35to39,2548,3003,3075,3213,3413,0.14007
HRSD,age40to44,2761,2948,3055,3234,3497,0.1423
HRSD,age45to49,3245,3320,3226,3241,3488,0.15171
HRSD,age50to54,3740,3672,3633,3503,3557,0.16627
