dept_code,activity_code,vs_type,pa_last_year_5,pa_last_year_4,pa_last_year_3,pa_last_year_2,pa_last_year
CBSA,ISS07,S,9895362.770000001,11294880.93,10711983.68,12793831.49,13055183.84
CBSA,ISS07,V,149415828.83,159928577.72,187133414.99,179613388.63,161331106.47000003
CBSA,ISS08,S,1804393.43,2131583.08,1735338.6800000002,2120786.16,1793728.5099999998
CBSA,ISS08,V,19138527.63,20662278.98,17802937.93,20719197.24,18295936.75
CBSA,ISS09,S,557694.16,1135796.9899999998,1081841.6099999999,1532460.14,1825516.07
CBSA,ISS09,V,9332534.66,9059873.89,14562443.75,12086373.36,11062185.28
CBSA,ISS0Z,S,597524.88,604799.37,642769.3200000001,783877.03,1036757.69
CBSA,ISS0Z,V,6071760.56,5721341.609999999,6273341.680000001,8489854.12,10304381.35
CC,BFJ00,S,62800000.0,,,,
CC,BFJ00,V,365831145.0,510389080.0,423422901.0,369338611.0,364283160.0
CCC,BYH00,V,,,13000000.0,13962379.0,13792138.0
CCMD,BTR01,S,10762984.38,12446835.149999999,18079537.16,16193842.26,21059122.25
CCMD,BTR01,V,45854705.849999994,47149026.29,46835962.21,52456375.54,49959597.260000005
CCMD,ISS00,S,3424236.16,4148881.0199999996,5225077.05,5497294.2700000005,5859712.47
CCMD,ISS00,V,22240906.85,17591679.060000002,18722162.29,20629649.090000004,21902897.87
CCOHS,BFZ01,S,3474316.8899999997,4671095.67,5838896.24,6052369.050000001,6049323.55
CCOHS,BFZ01,V,4102796.6400000006,3942460.8,3014902.4800000004,4204073.959999999,3932922.3200000008
CCOHS,ISS00,S,1673641.8399999999,2198115.34,2739351.98,2570946.29,2751058.7399999998
CCOHS,ISS00,V,2454897.36,2281360.1999999997,1562218.52,2185121.04,2145867.68
CCRA,BRA01,S,269104388.11,273536803.4,236201659.4,183013217.94,160190475.62
CCRA,BRA01,V,963270984.69,1026626922.39,1116011526.66,1308870287.4299998,1142971145.45
CCRA,BRA02,S,74635421.01,133397836.0,136486728.19,121957423.95,108159618.92999999
CCRA,BRA02,V,321713833.84999996,297333629.34999996,362529855.09000003,447985921.69000006,409735629.23
CCRA,BRA03,S,72013312.82,70801974.87,101594116.21000001,107817426.89,120709810.19
CCRA,BRA03,V,398609827.0,375241988.92,418691701.06,464871682.93,442187789.13
CCRA,BRA04,S,124391033.25,,,,
CCRA,BRA04,V,735973421.14,,,,
CCRA,BRA05,S,65600211.73,,,,
CCRA,BRA05,V,405093625.57,,,,
CCRA,BRA06,S,30480032.94,39054321.949999996,36129512.73,49997717.26,40892676.08
CCRA,BRA06,V,195560424.64000002,205611648.31,241180241.66,285379164.5,300009437.5
CCRA,BRA07,S,3818200.3000000003,4938661.529999999,7634972.54,11490630.34,11295512.350000001
CCRA,BRA07,V,21914602.779999997,29619763.849999998,45992452.22,68931587.3,57776510.510000005
CCRA,BRA08,S,2017941.23,2600488.27,2478176.08,3467996.34,3370846.2
CCRA,BRA08,V,17346881.09,16788601.49,18395593.669999998,25130497.79,23923505.669999998
CCRA,BRA09,S,5270475.92,4576756.99,4904786.82,5372610.4,5364662.84
CCRA,BRA09,V,37964829.410000004,33175557.65,34520141.6,38149892.14,37720409.83
CCRA,BRA10,S,3158886.1599999997,2830364.72,3156938.17,3623214.94,3591290.57
CCRA,BRA10,V,21527989.16,19660528.53,21733435.990000002,23862579.77,24410317.450000003
CCRA,BRA11,S,21528878.33,20759660.96,22812170.75,25925917.029999997,26082491.619999997
CCRA,BRA11,V,97259989.74000001,96165590.16999999,107505736.07000001,126766978.70000002,122220244.39999998
CCRA,BRA12,S,,183121849.93,201716113.79,238232042.68,238125281.3
CCRA,BRA12,V,,1114792551.43,1224613891.4,1484816827.9399998,1488887398.06
CCRA,BRB01,S,5000899444.98,4281937300.21,7463788580.94,10280649532.19,15962297935.68
CCRA,BRB01,V,146382348.3,121186415.16000001,198044084.5,233418809.95,220174573.0
CCRA,BRC01,S,521500.23,484807.74,559173.1599999999,673233.76,701604.16
CCRA,BRC01,V,4093141.06,3564721.58,3992012.9099999997,4859487.93,4909629.07
CCRA,ISS01,S,25538598.84,29085743.84,36222283.06,35876458.72,34187986.88
