"deptcode","activitycode","FTEActual_2012","FTEActual_2013","FTEActual_2014","FTEActual_2015","FTEActual_2016","FTEPlanned_2017","FTEPlanned_2018","FTEPlanned_2019","PlannedFTE_1617"
"SHARE","BFU00",".",".",".",".",".",1533,1533,1533,"."
"SHARE","BFV00",".",".",".",".",".",556,556,556,"."
"SHARE","BFW00",".",".",".",".",".",903,903,903,"."
"SHARE","BFX00",".",".",".",".",".",9,9,9,"."
"SHARE","BMO00",5111,5116,5001,4803,4689,".",".",".",5055
"SHARE","ISC00",784,890,886,865,907,945,945,945,945
"SIRC","AWV00",3,4,4.7,4,6.8,7,7,7,8.5
"SIRC","AWW00",7,8,9,8,10.2,18,18,18,16
"SIRC","ISC00",4,4,4.5,5.5,8,9,9,8,6.5
"SSHRC","AQA00",38,39,40,59,63,64,64,64,53
"SSHRC","AQB00",38,38,40,50,51,52,52,52,45
"SSHRC","AQD00",4,4,2,3,2,2,2,2,2
"SSHRC","AQZ00",".",".",".",6,6,5,5,5,6
"SSHRC","BMS00",15,15,14,12,13,13,13,13,10
"SSHRC","ISC00",108,110,111,88,93,91,91,91,105
"SWC","AEW00",35,".",".",".",".",".",".",".","."
"SWC","AEX00",18,".",".",".",".",".",".",".","."
"SWC","CCA00",".",17,17,17,19,24,24,24,18
"SWC","CCB00",".",34,39,38,43,55,55,55,38
"SWC","ISC00",41,45,42,44,51,57,57,57,42
"TBC","BJV00",0,0,0,0,0,".",".",".",0
"TBC","BKG00",412,360,385,".",".",".",".",".","."
"TBC","BKH00",437,405,404,".",".",".",".",".","."
"TBC","BKI00",242,258,231,".",".",".",".",".","."
"TBC","BKJ00",180,195,215,".",".",".",".",".","."
"TBC","BXA01",".",".",".",".",".",217,217,217,"."
"TBC","BXA02",".",".",".",".",".",96,96,96,"."
"TBC","BXA03",".",".",".",".",".",37,37,37,"."
"TBC","BXA04",".",".",".",".",".",0,0,0,"."
"TBC","BXB01",".",".",".",".",".",196,196,196,"."
"TBC","BXB02",".",".",".",".",".",96,85,83,"."
"TBC","BXB03",".",".",".",".",".",126,126,126,"."
"TBC","BXB04",".",".",".",".",".",19,19,19,"."
"TBC","BXC01",".",".",".",".",".",154,154,154,"."
"TBC","BXC02",".",".",".",".",".",98,100,98,"."
"TBC","BXC03",".",".",".",".",".",0,0,0,"."
"TBC","BXC04",".",".",".",".",".",196,180,180,"."
"TBC","BXD01",".",".",".",".",".",33,33,33,"."
"TBC","BXD02",".",".",".",".",".",0,0,0,"."
"TBC","DAC00",".",".",".",332,337,".",".",".",343
"TBC","DAD00",".",".",".",466,506,".",".",".",498
"TBC","DAE00",".",".",".",428,498,".",".",".",383
"TBC","ISC00",642,616,599,580.757,581,".",".",".",578
"TBC","ISS01",".",".",".",".",".",92,93,92,"."
"TBC","ISS02",".",".",".",".",".",96,96,96,"."
"TBC","ISS03",".",".",".",".",".",25,25,25,"."
"TBC","ISS04",".",".",".",".",".",111,111,111,"."
"TBC","ISS05",".",".",".",".",".",111,111,111,"."
"TBC","ISS06",".",".",".",".",".",26,26,26,"."
"TBC","ISS07",".",".",".",".",".",113,113,113,"."
"TBC","ISS08",".",".",".",".",".",12,10,9,"."
"TBC","ISS09",".",".",".",".",".",12,12,12,"."
"TBC","ISS0Z",".",".",".",".",".",9,9,9,"."
"TC","BAY00",75,93,157,173,158,163,163,160,158
"TC","BAZ00",79,80,47,33,14,15,3,3,19
"TC","BBC00",236,226,240,251,222,213,211,209,217
"TC","BBD00",22,53,".",".",".",".",".",".","."
"TC","BBH00",87,75,64,64,62,90,17,17,15
"TC","BBI00",27,52,71,96,78,60,59,59,82
"TC","BBN00",101,121,127,123,108,140,126,123,115
"TC","BBO00",1622,1502,1487,1568,1470,1733,1733,1733,1732
"TC","BBU00",575,539,579,608,554,558,553,553,553
"TC","BCK00",176,175,190,212,190,270,271,209,208
"TC","BCN00",84,76,78,81,79,132,107,107,109
"TC","BCO00",114,107,172,228,246,286,289,147,146
"TC","BCQ00",292,273,265,269,249,287,287,287,287
"TC","BCR00",120,102,112,111,100,116,116,116,116
"TC","BCT00",32,31,37,43,41,57,57,40,40
"TC","CHA00",".",98,162,177,159,125,125,118,118
"TC","ISC00",1315,1098,1188,1226,1085,1189,1173,1139,1156.85
"VAC","BBX00",1693,1536.3,1473.2,1599,1097.5,1195,1155,1162,984
"VAC","BCJ00",44,35,33.4,33.8,32,38,38,38,38
"VAC","BCX00",123,90.2,90.2,83.7,91,90,92,92,94
"VAC","BNC00",780,691.8,632,645.3,715.6,773,748,752,727
"VAC","BND00",52,46.1,42.1,49.9,74.1,89,86,87,60
"VAC","ISC00",680,685.6,635.6,597.7666,626,656,652,652,706
"VRAB","LJQ00",107,104,95,97,92,101,101,101,102
"WDO","BCC00",53,".",".",".",".",".",".",".","."
"WDO","BCE00",43,50,35,38,48,36,25,22,38
"WDO","BCH00",36,".",".",".",".",".",".",".","."
"WDO","BCW00",61,68,58,56,58,59,60,60,55
"WDO","CJA00",".",96,107,99,94,103,113,116,103
"WDO","ISC00",175,117,95,94,92,85,85,85,91

