"org_id","fiscal_year","calendar_month","is_in_estimates","is_budgetary","covid_measure_id","Stat","Vote"
280,2021,03,1,1,"COV079",157739.00,401331484.00
280,2021,03,1,1,"COV082",6563864.00,3837057243.00
280,2021,03,1,1,"COV112",1144810.00,386048463.00
280,2021,03,1,1,"COV113",26130694.00,211088872.00
280,2021,03,1,1,"COV115",2776204.00,728657297.00
280,2021,03,1,1,"COV118",20545020.00,1186498853.00
280,2021,03,1,1,"COV122",0.00,5500612.00
280,2021,03,1,1,"COV226",164772.00,3233945.00
280,2021,03,1,1,"COV231",0.00,3690550.00
280,2021,03,1,1,"COV239",6141.00,89898136.00
280,2021,03,1,1,"COV241",0.00,961990549.00
280,2021,03,1,1,"COV245",234539.00,5437028.00
135,2021,03,1,1,"COV041",0.00,47229337.41
288,2021,03,1,1,"COV154",90256.00,462173.00
326,2021,03,1,1,"COV114",989026.18,5948991.78
326,2021,03,1,1,"COV236",156938.31,3718325.00
138,2021,03,1,1,"COV101",109135.08,78945375.26
138,2021,03,1,1,"COV135",85022.26,73935402.06
138,2021,03,1,1,"COV136",132240.27,26787106.50
138,2021,03,1,1,"COV138",1482.30,64810052.25
138,2021,03,0,1,"COV224",206981.85,779822.18
97,2021,03,1,1,"COV215",0.00,25000000.00
334,2021,03,1,1,"COV153",0.00,67429384.00
140,2021,03,1,1,"COV010",0.00,96431.00
140,2021,03,1,1,"COV043",0.00,119590389.00
140,2021,03,1,1,"COV134",0.00,46593165.00
140,2021,03,1,1,"COV145",0.00,3462553.00
140,2021,03,1,1,"COV204",0.00,10203421.00
140,2021,03,1,1,"COV215",0.00,16513857.00
12,2022,08,1,1,"COV215",0.00,8489695.00
46,2022,08,0,1,"COV015",-140408000.00,0.00
46,2022,08,1,1,"COV087",6179766.00,31067384.00
46,2022,08,0,1,"COV205",-3498000.00,0.00
315,2022,08,0,1,"COV098",0.00,4643659.98
122,2022,08,1,1,"COV202",62490.00,3510424.00
122,2022,08,1,1,"COV215",215314.00,58978986.00
122,2022,08,1,1,"COV217",68680.00,333705.00
122,2022,08,1,1,"COV219",309949.00,53872896.00
86,2022,08,1,1,"COV215",0.00,1526473.00
117,2022,08,0,1,"COV146",2370436.68,15354480.50
561,2022,08,1,1,"COV215",68316.00,4813455.00
150,2022,08,1,1,"COV145",0.00,6618570.00
150,2022,08,1,1,"COV215",0.00,67252742.00
124,2022,08,1,1,"COV242",100000000.00,0.00
141,2022,08,1,1,"COV145",10623.00,846390.00
141,2022,08,1,1,"COV215",83019.00,4707573.00
136,2022,08,0,1,"COV005",0.00,4390299.73
127,2022,08,0,1,"COV082",0.00,407223.00
127,2022,08,1,1,"COV112",0.00,5984626.00
127,2022,08,1,1,"COV121",0.00,189885.00
127,2022,08,1,1,"COV123",76322.00,6722512.00
127,2022,08,0,1,"COV209",7287.00,20246438.00
127,2022,08,1,1,"COV211",80199.00,1343661.00
127,2022,08,1,1,"COV241",570907238.00,0.00
128,2022,08,1,1,"COV014",0.00,224500.00
128,2022,08,1,1,"COV026",0.00,58050.00
128,2022,08,1,1,"COV087",0.00,9104052.00
128,2022,08,1,1,"COV126",137920511.00,0.00
128,2022,08,1,1,"COV127",130023930.00,0.00
128,2022,08,1,1,"COV140",0.00,3250718.00
128,2022,08,1,1,"COV150",301650.85,4949847.90
128,2022,08,1,1,"COV152",0.00,38423005.35
128,2022,08,1,1,"COV237",14473027.00,0.00
129,2022,08,1,1,"COV117",0.00,683100.00
348,2022,08,0,1,"COV032",0.00,36181817.81
348,2022,08,1,1,"COV117",0.00,1694522.00
348,2022,08,0,1,"COV124",0.00,20258791.63
348,2022,08,0,1,"COV125",0.00,1829330.17
348,2022,08,0,1,"COV204",0.00,2125000.00
130,2022,08,1,1,"COV010",0.00,1200466.00
130,2022,08,1,1,"COV082",0.00,2634168.00
130,2022,08,1,1,"COV139",0.00,3726365.00
130,2022,08,1,1,"COV145",0.00,246171.00
130,2022,08,1,1,"COV215",0.00,736340.00
134,2022,08,1,1,"COV062",405954.70,2585415.79
228,2022,08,1,1,"COV010",0.00,11990258.27
228,2022,08,1,1,"COV082",0.00,8529565.81
228,2022,08,1,1,"COV083",0.00,11783861.08
237,2022,08,1,1,"COV117",9283.00,2614498.00
560,2022,08,1,1,"COV215",0.00,456227.00
280,2022,08,1,1,"COV002",0.00,16477052.00
280,2022,08,1,1,"COV010",257371.00,8102233.00
280,2022,08,1,1,"COV082",1670455.00,282901742.00
280,2022,08,1,1,"COV112",681210.00,4541745.00
280,2022,08,1,1,"COV115",0.00,4038.00
280,2022,08,1,1,"COV118",6959754.00,133647140.00
280,2022,08,1,1,"COV211",42292.00,1665180.00
280,2022,08,1,1,"COV226",30416.00,14670590.00
280,2022,08,1,1,"COV239",5625.00,608914160.00
280,2022,08,1,1,"COV247",0.00,107954640.00
326,2022,08,1,1,"COV236",46842.92,911056.84
138,2022,08,1,1,"COV101",8875.29,33315.43
138,2022,08,1,1,"COV135",33078.72,9468252.06
138,2022,08,1,1,"COV136",95391.19,5357958.41
138,2022,08,0,1,"COV224",87853.47,330177.13
138,2022,08,1,1,"COV246",987156.98,4162524.14
140,2022,08,1,1,"COV215",0.00,2862209.00
