"deptcode","ID"
"IRB","table111"
"IRB","table112"
"IRB","table113"
"IRB","table12"
"IRB","table2"
"IRB","table300"
"IRB","table302"
"IRB","table303"
"IRB","table304"
"IRB","table305"
"IRB","table4"
"IRB","table5"
"IRB","table6"
"IRB","table8"
"IRB","table9"
"ISC","table1"
"ISC","table10"
"ISC","table11"
"ISC","table111"
"ISC","table112"
"ISC","table113"
"ISC","table12"
"ISC","table2"
"ISC","table300"
"ISC","table302"
"ISC","table303"
"ISC","table304"
"ISC","table305"
"ISC","table4"
"ISC","table5"
"ISC","table6"
"ISC","table7"
"ISC","table8"
"ISC","table9"
"JCCB","table300"
"JCCB","table305"
"JCCB","table4"
"JCCB","table5"
"JCCB","table6"
"JCCB","table8"
"JJJ","table10"
"JJJ","table11"
"JJJ","table111"
"JJJ","table112"
"JJJ","table302"
"JJJ","table303"
"JJJ","table304"
"JJJ","table9"
"JUS","table1"
"JUS","table10"
"JUS","table11"
"JUS","table111"
"JUS","table112"
"JUS","table113"
"JUS","table12"
"JUS","table2"
"JUS","table300"
"JUS","table302"
"JUS","table303"
"JUS","table304"
"JUS","table305"
"JUS","table4"
"JUS","table5"
"JUS","table6"
"JUS","table7"
"JUS","table8"
"JUS","table9"
"LAC","table1"
"LAC","table10"
"LAC","table11"
"LAC","table111"
"LAC","table112"
"LAC","table113"
"LAC","table12"
"LAC","table2"
"LAC","table300"
"LAC","table302"
"LAC","table303"
"LAC","table304"
"LAC","table305"
"LAC","table4"
"LAC","table5"
"LAC","table6"
"LAC","table7"
"LAC","table8"
"LAC","table9"
"LP","table300"
"LP","table305"
"LP","table4"
"LP","table5"
"LP","table6"
"LP","table8"
"MPCC","table1"
"MPCC","table10"
"MPCC","table11"
"MPCC","table111"
"MPCC","table112"
"MPCC","table113"
"MPCC","table12"
"MPCC","table2"
"MPCC","table300"
"MPCC","table302"
"MPCC","table303"
"MPCC","table304"
"MPCC","table305"
"MPCC","table4"
"MPCC","table5"
"MPCC","table6"
"MPCC","table8"
"MPCC","table9"
"NAC","table300"
"NAC","table305"
"NAC","table4"
"NAC","table5"
"NAC","table6"
"NAC","table8"
"NBC","table1"
"NBC","table12"
"NBC","table2"
"NBC","table300"
"NBC","table305"
"NBC","table4"
"NBC","table5"
"NBC","table6"
"NBC","table8"
"NCC","table300"
"NCC","table305"
"NCC","table4"
"NCC","table5"
"NCC","table6"
"NCC","table8"
"ND","table1"
"ND","table10"
"ND","table11"
"ND","table111"
"ND","table112"
"ND","table113"
"ND","table12"
"ND","table2"
"ND","table300"
"ND","table302"
"ND","table303"
"ND","table304"
"ND","table305"
"ND","table4"
"ND","table5"
"ND","table6"
"ND","table7"
"ND","table8"
"ND","table9"
"NEB","table1"
"NEB","table10"
"NEB","table11"
"NEB","table111"
"NEB","table112"
"NEB","table12"
"NEB","table2"
"NEB","table300"
"NEB","table302"
"NEB","table303"
"NEB","table304"
"NEB","table305"
"NEB","table4"
"NEB","table5"
"NEB","table6"
"NEB","table7"
"NEB","table8"
"NEB","table9"
"NFB","table1"
"NFB","table10"
"NFB","table11"
"NFB","table111"
"NFB","table112"
"NFB","table12"
"NFB","table2"
"NFB","table300"
"NFB","table302"
"NFB","table303"
"NFB","table304"
"NFB","table305"
"NFB","table4"
"NFB","table5"
"NFB","table6"
"NFB","table7"
"NFB","table8"
"NFB","table9"
"NGC","table300"
"NGC","table305"
"NGC","table4"
"NGC","table5"
"NGC","table6"
"NGC","table8"
"NMST","table300"
"NMST","table305"
"NMST","table4"
"NMST","table5"
"NMST","table6"
"NMST","table8"
"NPA","table1"
"NPA","table12"
"NPA","table2"
"NPA","table300"
"NPA","table305"
"NPA","table4"
"NPA","table5"
"NPA","table6"
"NPA","table7"
"NPA","table8"
"NPB","table1"
"NPB","table10"
"NPB","table11"
"NPB","table111"
"NPB","table112"
"NPB","table113"
"NPB","table12"
"NPB","table2"
"NPB","table300"
"NPB","table302"
"NPB","table303"
"NPB","table304"
"NPB","table305"
"NPB","table4"
"NPB","table5"
"NPB","table6"
"NPB","table8"
"NPB","table9"
"NR","table1"
"NR","table10"
"NR","table11"
"NR","table111"
"NR","table112"
"NR","table113"
"NR","table12"
"NR","table2"
"NR","table300"
"NR","table302"
"NR","table303"
"NR","table304"
"NR","table305"
"NR","table4"
"NR","table5"
"NR","table6"
"NR","table7"
"NR","table8"
"NR","table9"
"NRC","table1"
"NRC","table10"
"NRC","table11"
"NRC","table111"
"NRC","table112"
"NRC","table12"
"NRC","table2"
"NRC","table300"
"NRC","table302"
"NRC","table303"
"NRC","table304"
"NRC","table305"
"NRC","table4"
"NRC","table5"
"NRC","table6"
"NRC","table7"
"NRC","table8"
"NRC","table9"
"NRTEE","table10"
"NRTEE","table11"
"NRTEE","table111"
"NRTEE","table112"
"NRTEE","table302"
"NRTEE","table303"
"NRTEE","table304"
"NRTEE","table4"
"NRTEE","table5"
"NRTEE","table6"
"NRTEE","table9"
"NSERC","table1"
"NSERC","table10"
"NSERC","table11"
"NSERC","table111"
"NSERC","table112"
