"DeptCode","ActivityCode","AuthorityType","Expenditures_2015","Expenditures_2016"
"INAC","CKD00","V",286164005.85,267547589.76
"INAC","CKE00","S",948483.09,800402.55
"INAC","CKE00","V",38700005.68,47306076.81
"INAC","HGH00","S",4978968.80,3661628.02
"INAC","HGH00","V",311834859.06,164606857.48
"INAC","HGV00","S",524535.30,470874.35
"INAC","HGV00","V",63922748.06,53361424.25
"INAC","ISC00","S",18228564.74,17289944.24
"INAC","ISC00","V",250426328.03,269087700.97
"IPC","ASN00","S",1150136.44,1170898.49
"IPC","ASN00","V",10813354.32,10045243.54
"IPC","ASO00","S",851917.61,850471.54
"IPC","ASO00","V",7630992.51,8609211.69
"IPC","ASR00","S",234721.66,246504.89
"IPC","ASR00","V",2061474.60,2432619.53
"IPC","AST00","S",246457.87,295805.74
"IPC","AST00","V",2695932.87,3070022.20
"IPC","ISC01","S",715901.18,751839.85
"IPC","ISC01","V",6263424.64,5747793.11
"IPC","ISC02","S",254468.73,254037.08
"IPC","ISC02","V",2100868.52,3209539.89
"IRB","AFR00","S",837627.07,1583613.09
"IRB","AFR00","V",10627616.51,9875163.17
"IRB","AFT00","S",1555593.58,1096347.54
"IRB","AFT00","V",14334301.59,14563658.99
"IRB","AFU00","S",5265098.65,4750938.51
"IRB","AFU00","V",36275157.20,37526072.46
"IRB","HAC00","S",1196610.37,1583613.09
"IRB","HAC00","V",10710857.21,11935399.51
"IRB","ISC00","S",3111534.94,3167586.45
"IRB","ISC00","V",28482776.18,29417073.92
"ISC","AOW00","S",3484544.77,3149685.00
"ISC","AOW00","V",30462654.85,29214776.15
"ISC","AOX00","S",1122788.20,1050361.43
"ISC","AOX00","V",243327824.43,279543372.60
"ISC","AOZ00","S",1690664.68,1483647.47
"ISC","AOZ00","V",154731268.14,145204965.57
"ISC","APA00","S",6190129.81,15713822.49
"ISC","APA00","V",36017363.37,34410459.60
"ISC","APD00","S",60955994.70,90876877.72
"ISC","APD00","V",250459587.05,1106481988.74
"ISC","APG00","S",11899415.94,9527197.95
"ISC","APG00","V",106006919.17,88799511.76
"ISC","APJ00","S",64412390.59,64959022.96
"ISC","APJ00","V",20980451.67,21250965.70
"ISC","CRA00","S",5678851.03,4950990.02
"ISC","CRA00","V",40428832.62,36202370.55
"ISC","ISC00","S",16564905.95,18312608.88
"ISC","ISC00","V",115419910.09,135781160.36
"JCCB","BJE00","V",247328089.00,284286531.73
"JUS","ASA00","S",98984.10,113281.97
"JUS","ASA00","V",1016570.48,895463.89
"JUS","ASB00","S",3838461.07,3794408.01
"JUS","ASB00","V",380492986.31,406178905.71
"JUS","ASE00","S",54572400.22,55591159.99
"JUS","ASE00","V",139876697.06,143202400.24
"JUS","ISC00","S",14611781.21,10559448.54
"JUS","ISC00","V",88711926.45,69484378.01
"LAC","BHB00","S",337921.59,471690.04
"LAC","BHB00","V",2298858.38,3226679.86
"LAC","BHC00","S",1659055.50,1283200.66
"LAC","BHC00","V",11866714.66,9635884.34
"LAC","BHD00","S",3233359.02,3612406.65
"LAC","BHD00","V",22461413.59,29082216.17
"LAC","ISC00","S",2934937.26,2606897.10
"LAC","ISC00","V",27956240.07,25023234.72
"LAC","LJN00","S",593433.09,443777.16
"LAC","LJN00","V",4203706.50,3344414.88
"LAC","LJO00","S",1481420.44,1711017.06
"LAC","LJO00","V",12424552.30,34059218.98
"LP","AVH00","S",0.00,3719986.66
"LP","AVH00","V",28400189.64,28596252.35
"LP","ISC00","S",4508192.05,849827.03
"LP","ISC00","V",8710242.12,9275600.54
"MPCC","BDV00","S",187681.96,185414.76
"MPCC","BDV00","V",2358099.86,1871543.51
"MPCC","ISC00","S",187681.99,185414.77
"MPCC","ISC00","V",2673774.88,1877157.01
"NAC","ADO00","V",54897056.00,135309431.00
"NBC","ADR00","S",219206.17,289434.00
"NBC","ADR00","V",2047933.38,2068703.47
"NBC","ADS00","S",905261.31,948662.02
"NBC","ADS00","V",112752.63,107352.68
"NBC","ISC00","S",1557326.43,1449831.59
"NBC","ISC00","V",8657865.80,4459591.12
