fiscal_yr,service_id,program_id
2018-2019,1200,BWW05
2018-2019,1200,BWW06
2018-2019,1200,BWW07
2018-2019,1200,BWW08
2018-2019,1200,BWW09
2019-2020,1200,BWW01
2019-2020,1200,BWW02
2019-2020,1200,BWW03
2019-2020,1200,BWW05
2019-2020,1200,BWW06
2019-2020,1200,BWW07
2019-2020,1200,BWW08
2019-2020,1200,BWW09
2022-2023,1202,BWB02
2018-2019,1202,BWB02
2019-2020,1202,BWB02
2020-2021,1202,BWB02
2021-2022,1202,BWB02
2022-2023,1204,BWB02
2018-2019,1204,BWB02
2019-2020,1204,BWB02
2020-2021,1204,BWB02
2021-2022,1204,BWB02
2022-2023,1208,BGS02
2018-2019,1208,BGS03
2019-2020,1208,BGS02
2020-2021,1208,BGS02
2021-2022,1208,BGS02
2022-2023,1210,BWB02
2018-2019,1210,BWB02
2019-2020,1210,BWB02
2020-2021,1210,BWB02
2021-2022,1210,BWB02
2022-2023,1211,BNP15
2018-2019,1211,BNP15
2019-2020,1211,BNP15
2020-2021,1211,BNP15
2021-2022,1211,BNP15
2018-2019,1212,BWM10
2018-2019,1213,BWR03
2018-2019,1214,BWM01
2018-2019,1215,BWR03
2018-2019,1216,BWR03
2018-2019,1217,BWR03
2022-2023,1218,BNP18
2018-2019,1218,BNP15
2019-2020,1218,BNP15
2020-2021,1218,BNP15
2021-2022,1218,BNP15
2018-2019,1219,BWR03
2022-2023,1220,BVN03
2018-2019,1220,BVN02
2019-2020,1220,BVN02
2020-2021,1220,BVN02
2021-2022,1220,BVN02
2022-2023,1221,BNP18
2018-2019,1221,BNP10
2019-2020,1221,BNP10
2020-2021,1221,BNP10
2021-2022,1221,BNP10
2022-2023,1222,BNP18
2018-2019,1222,BNP10
2019-2020,1222,BNP10
2020-2021,1222,BNP10
2021-2022,1222,BNP10
2022-2023,1223,BGW01
2018-2019,1223,BGW01
2018-2019,1223,BGW02
2018-2019,1223,BGW03
2018-2019,1223,BGW04
2019-2020,1223,BGW01
2020-2021,1223,BGW01
2021-2022,1223,BGW01
2022-2023,1225,BGW01
2022-2023,1225,BGW02
2018-2019,1225,BGW01
2018-2019,1225,BGW02
2018-2019,1225,ISS01
2018-2019,1225,ISS08
2019-2020,1225,BGW02
2020-2021,1225,BGW01
2020-2021,1225,BGW02
2021-2022,1225,BGW01
2021-2022,1225,BGW02
2022-2023,1228,BVN03
2018-2019,1228,BVN02
2018-2019,1228,BVN03
2019-2020,1228,BVN02
2019-2020,1228,BVN03
2020-2021,1228,BVN02
2020-2021,1228,BVN03
2021-2022,1228,BVN02
2021-2022,1228,BVN03
2018-2019,1229,BWM10
2018-2019,1230,BWR03
2018-2019,1231,BGW03
2018-2019,1231,BGW04
2019-2020,1231,BGW03
2019-2020,1231,BGW04
2020-2021,1231,BGW03
2020-2021,1231,BGW04
2018-2019,1232,BGW01
2018-2019,1232,BGW02
2018-2019,1232,BGW03
2018-2019,1232,BGW04
2018-2019,1232,BGW05
2018-2019,1232,ISS02
2019-2020,1232,BGW01
2019-2020,1232,BGW02
2019-2020,1232,BGW03
2019-2020,1232,BGW04
2019-2020,1232,BGW05
2020-2021,1232,BGW01
2020-2021,1232,BGW02
2020-2021,1232,BGW03
2020-2021,1232,BGW04
2020-2021,1232,BGW05
2022-2023,1233,BYP08
2018-2019,1233,BXM12
2019-2020,1233,BXM12
2020-2021,1233,BXM12
2021-2022,1233,BXM12
2022-2023,1234,BNP18
2018-2019,1234,BNP10
2019-2020,1234,BNP10
2020-2021,1234,BNP10
2021-2022,1234,BNP10
2022-2023,1235,BNP18
2018-2019,1235,BNP13
2019-2020,1235,BNP13
2020-2021,1235,BNP13
2021-2022,1235,BNP18
2022-2023,1236,BYP02
2018-2019,1236,BXM11
