"dept_code","so_num","in_year_auth","in_year_quarter_exp","in_year_cumul_exp","last_year_auth","last_year_quarter_exp","last_year_cumul_exp"
"CSIS",9,315000,5000,5000,303000,100000,100000
"CSIS",12,2000,97000,97000,2000,20000,20000
"CTA",1,26508685,7016692,7016692,24836591,6214130,6214130
"CTA",2,653046,97008,97008,489689,86533,86533
"CTA",3,193843,79160,79160,278653,45838,45838
"CTA",4,3110533,308462,308462,3721357,153084,153084
"CTA",5,902147,109618,109618,565035,89408,89408
"CTA",6,141193,383,383,57170,16527,16527
"CTA",7,160466,15328,15328,106857,38900,38900
"CTA",8,3522137,,,3522137,,
"CTA",9,223950,1790,1790,224808,54054,54054
"CTA",12,,13,13,,1179,1179
"CTAIB",1,27555000,6519000,6519000,24460000,6153000,6153000
"CTAIB",2,1748000,357000,357000,1770000,317000,317000
"CTAIB",3,194000,19000,19000,177000,48000,48000
"CTAIB",4,1844000,238000,238000,1985000,256000,256000
"CTAIB",5,451000,101000,101000,422000,80000,80000
"CTAIB",6,440000,5000,5000,421000,12000,12000
"CTAIB",7,229000,78000,78000,219000,33000,33000
"CTAIB",8,39000,0,0,4000,0,0
"CTAIB",9,785000,97000,97000,755000,44000,44000
"EA",1,1205436000,297188000,297188000,1164348000,301055000,301055000
"EA",2,145046000,24127000,24127000,134999000,24192000,24192000
"EA",3,26564000,2931000,2931000,17633000,2042000,2042000
"EA",4,327335000,44074000,44074000,344136000,37357000,37357000
"EA",5,218617000,51533000,51533000,243027000,56468000,56468000
"EA",6,31959000,2566000,2566000,32511000,2947000,2947000
"EA",7,54114000,6438000,6438000,53137000,7413000,7413000
"EA",8,49209000,4027000,4027000,94960000,2268000,2268000
"EA",9,54882000,4112000,4112000,41971000,3893000,3893000
"EA",10,4660902000,793632000,793632000,4516176000,863214000,863214000
"EA",12,28848000,2062000,2062000,66655000,1478000,1478000
"EA",20,-47335000,-3139000,-3139000,-47425000,-12544000,-12544000
"EC",1,715918000,179746000,179746000,678706000,169756000,169756000
"EC",2,35617000,8310000,8310000,39112000,6552000,6552000
"EC",3,6712000,772000,772000,3933000,502000,502000
"EC",4,213909000,19810000,19810000,162535000,16934000,16934000
"EC",5,32753000,14187000,14187000,31582000,15466000,15466000
"EC",6,28537000,1259000,1259000,20765000,1968000,1968000
"EC",7,41783000,5454000,5454000,48093000,5587000,5587000
"EC",8,1065000,76000,76000,1113000,17000,17000
"EC",9,42102000,2638000,2638000,51629000,1809000,1809000
"EC",10,787709000,13269000,13269000,622790000,15400000,15400000
"EC",12,4137000,2276000,2276000,4542000,2505000,2505000
"EC",20,-82509000,-14154000,-14154000,-83819000,-16682000,-16682000
"ERC",1,2540279,370830,370830,1914313,268602,268602
"ERC",2,80000,5464,5464,46783,2057,2057
"ERC",3,40755,0,0,10797,2010,2010
"ERC",4,660000,37973,37973,1119145,35361,35361
"ERC",5,30000,331,331,5268,288,288
"ERC",6,10000,0,0,0,0,0
"ERC",7,53000,2305,2305,28625,2995,2995
"ERC",12,0,1617,1617,0,0,0
"FCAC",1,26007877,4733518,4733518,20104966,4338347,4338347
"FCAC",2,843817,121161,121161,662411,111230,111230
"FCAC",3,768640,1105725,1105725,851140,27949,27949
"FCAC",4,7313521,916201,916201,4954301,645098,645098
"FCAC",5,2043238,409189,409189,1493397,281806,281806
"FCAC",6,11300,4284,4284,61936,,
"FCAC",7,55319,20511,20511,52000,16619,16619
"FCAC",8,350000,,,350000,,
"FCAC",9,804045,318803,318803,616644,48532,48532
"FCAC",12,205100,-3690,-3690,120000,4945,4945
"FEDSO",1,26773000,6441000,6441000,21134000,5498000,5498000
"FEDSO",2,821000,150000,150000,813000,133000,133000
"FEDSO",3,307000,61000,61000,329000,36000,36000
"FEDSO",4,4534000,310000,310000,5023000,322000,322000
"FEDSO",5,122000,17000,17000,135000,27000,27000
"FEDSO",6,71000,6000,6000,166000,7000,7000
"FEDSO",7,83000,13000,13000,106000,10000,10000
"FEDSO",9,158000,15000,15000,169000,14000,14000
"FEDSO",10,228565000,22108000,22108000,159188000,34026000,34026000
"FEDSO",12,48000,0,0,71000,-1000,-1000
"FIN",1,92952000,21858000,21858000,88097000,21734000,21734000
"FIN",2,2547000,692000,692000,3248000,790000,790000
"FIN",3,1839000,380000,380000,1834000,362000,362000
"FIN",4,11566000,2084000,2084000,10571000,2456000,2456000
"FIN",5,1148000,479000,479000,1177000,1885000,1885000
"FIN",6,322000,12000,12000,328000,12000,12000
"FIN",7,88314000,20010000,20010000,95560000,25505000,25505000
"FIN",9,1893000,44000,44000,1753000,351000,351000
"FIN",10,74074207000,18692584000,18692584000,70931762000,17919468000,17919468000
"FIN",11,24691000000,6637664000,6637664000,22838000000,5949901000,5949901000
"FIN",12,1000,274192000,274192000,21000,21535000,21535000
"FIN",20,-150000,0,0,-150000,0,0
"FJA",1,570734000,139745000,139745000,541064000,136769000,136769000
"FJA",2,24317000,6372000,6372000,22932000,5995000,5995000
"FJA",3,213000,32000,32000,168000,52000,52000
"FJA",4,10960000,2213000,2213000,11676000,1528000,1528000
"FJA",5,469000,42000,42000,336000,44000,44000
"FJA",6,22000,0,0,151000,0,0
"FJA",7,37000,1000,1000,70000,2000,2000
"FJA",9,29000,24000,24000,74000,3000,3000
"FJA",12,6427000,2398000,2398000,6322000,2207000,2207000
"FJA",20,-275000,0,0,-275000,0,0
"FO",1,1179660000,289130000,289130000,1045060000,267100000,267100000
"FO",2,64759000,18173000,18173000,58123000,18068000,18068000
"FO",3,2307000,489000,489000,2086000,497000,497000
"FO",4,356809000,57708000,57708000,289567000,39849000,39849000
"FO",5,18926000,6489000,6489000,16369000,4428000,4428000
"FO",6,203763000,23846000,23846000,203553000,21248000,21248000
"FO",7,104391000,18902000,18902000,105769000,18030000,18030000
"FO",8,197991000,16533000,16533000,169519000,10459000,10459000
"FO",9,575607000,37729000,37729000,403163000,21846000,21846000
"FO",10,297446000,16597000,16597000,206011000,14619000,14619000
"FO",12,31543000,13922000,13922000,20549000,13144000,13144000
"FO",20,-40011000,-12065000,-12065000,-39001000,-9886000,-9886000
"FORDQ",1,36682000,8559000,8559000,34148000,8101000,8101000
"FORDQ",2,910000,232000,232000,1010000,152000,152000
"FORDQ",3,308000,37000,37000,442000,30000,30000
"FORDQ",4,4768000,286000,286000,4759000,712000,712000
"FORDQ",5,571000,298000,298000,692000,205000,205000
"FORDQ",6,22000,7000,7000,36000,3000,3000
"FORDQ",7,237000,16000,16000,204000,26000,26000
"FORDQ",8,0,0,0,0,0,0
"FORDQ",9,827000,20000,20000,1831000,67000,67000
"FORDQ",10,274903000,16418000,16418000,233365000,25335000,25335000
"FORDQ",12,4000,170000,170000,18000,70000,70000
"FTRAC",1,40900000,9630000,9630000,39995000,9625000,9625000
"FTRAC",2,1111000,235000,235000,1068000,217000,217000
"FTRAC",3,349000,55000,55000,299000,74000,74000
"FTRAC",4,2908000,305000,305000,3651000,295000,295000
"FTRAC",5,5270000,805000,805000,5712000,565000,565000
"FTRAC",6,293000,65000,65000,346000,136000,136000
"FTRAC",7,313000,68000,68000,360000,94000,94000
"FTRAC",9,494000,4000,4000,352000,36000,36000
"FTRAC",12,3612000,12000,12000,0,36000,36000
"GG",1,16545000,3854000,3854000,15676000,3648000,3648000
