"dept_code","dimension","pa_last_year_5","pa_last_year_4","pa_last_year_3","pa_last_year_2","pa_last_year"
"H","yt",9566742,8788034,7828377,7595538,11043139
"HC","na",257856,282373,268591,342861,310328
"HC","on",719498,740187,772699,768603,822033
"HRSD","ab",4165896237,4464938416,4788907669,5138507522,5711064950
"HRSD","abroad",238723552,274869779,300561068,305949515,304398775
"HRSD","bc",6945868123,7396026116,7844866972,8321114124,9044332690
"HRSD","mb",1786837523,1883240810,1961349746,2067658472,2216130899
"HRSD","na",2076779833,235705278,411241442,5224379824,65017336454
"HRSD","nb",1381386646,1451276938,1528750398,1607942326,1704318561
"HRSD","nl",1008580539,1066965625,1128079594,1179386190,1248123716
"HRSD","ns",1606572293,1687214445,1771412904,1869686530,1990640389
"HRSD","nt",47270384,118390704,61078901,67633749,77111321
"HRSD","nu",26276838,33415445,36352367,37788779,47466324
"HRSD","on",19923976077,21147765627,22295714016,23641784672,26113051166
"HRSD","pe",254538486,269882092,280630839,289670776,306968822
"HRSD","qc",14096889403,14946488482,15769174994,16655716810,44942691803
"HRSD","sk",1501617896,1577310023,1648144693,1736289104,1874849808
"HRSD","yt",36312591,43231060,44123956,44608022,51823350
"INAC","ab",1216092790,1365059514,489094005,280373750,751408362
"INAC","abroad",240000,240000,222500,245500,225500
"INAC","bc",1103683157,999008030,361930724,558892267,382920655
"INAC","mb",1326111809,945592575,289482629,139831088,473091465
"INAC","na",82760820,90769873,44548201,33962169,13619639
"INAC","nb",190953009,96533964,9288946,5308249,150242663
"INAC","nl",137278483,115506176,86342465,92954496,109726965
"INAC","ns",185625815,138224387,79637089,63797595,116002104
"INAC","nt",116363398,171703797,147146602,179816476,237921036
"INAC","nu",76477720,76335455,82411221,96123293,177307881
"INAC","on",1565329012,1132674641,945802332,331084310,447181788
"INAC","pe",12916947,9341558,1943693,1919383,1980927
"INAC","qc",959086459,1014552471,581572623,700185887,482369444
"INAC","sk",956148251,816598216,267687187,100385689,371791361
"INAC","yt",215917135,185440839,174130851,217930559,258123832
"INDSC","ab",0,558421534,1445486853,1680171457,2119085310
"INDSC","abroad",0,0,0,4134645,0
"INDSC","bc",0,515345279,1483377865,1585743702,1982805689
"INDSC","mb",0,697478382,1861626898,2141396585,2503292451
"INDSC","na",0,103691669,68328671,99284073,184444478
"INDSC","nb",0,79466708,216834918,230099324,261217968
"INDSC","nl",0,47578446,105329701,114907322,155427988
"INDSC","ns",0,54251380,151316046,172889526,201982348
"INDSC","nt",0,21591140,58779117,71249416,140618602
"INDSC","nu",0,43738628,87126640,95900142,256812370
"INDSC","on",0,663343030,2081639434,2316892460,3016894829
"INDSC","pe",0,4371043,21805761,22097084,23530541
"INDSC","qc",0,268684821,755329441,944024577,1187153700
"INDSC","sk",0,458767323,1389458048,1613079004,2010956456
"INDSC","yt",0,31255147,61506894,67557686,94134960
"IPC","na",489416,475745,498480,392608,494211
"IPC","on",0,0,0,100000,0
"ISC","ab",95870334,151450364,51602243,125046368,155398537
"ISC","abroad",5908000,5827100,5783000,5753000,5618991
"ISC","bc",163970443,189080702,178953875,185944359,328822446
