dept_code,so_num,pa_last_year_5,pa_last_year_4,pa_last_year_3,pa_last_year_2,pa_last_year_1
CIHR,6,132835.21,138947.31,167264.69,217150.36,1392501.22
CIHR,7,30574.260000000002,11930.28,218179.24,11049.82,10389.66
CIHR,9,1063417.76,581966.03,527150.34,191439.09,666003.18
CIHR,10,1439509392.69,1315234184.2,1258419240.74,1258382392.97,1336222894.54
CIHR,12,398560.98,94979.09000000001,260222.87000000002,-219113.91,237747.03
CMC,12,81526259.0,84700406.0,77558634.0,85563916.0,83226822.0
CMHC,12,5530499959.77,4042530388.44,4162705079.7900004,5430270485.58,5443589624.490001
CMHR,12,29187388.0,29336716.0,30816799.0,28794533.0,28589790.0
CMI,12,10606268.0,9546694.0,8956694.0,10060894.0,10024370.0
CMN,12,34903027.0,35681183.0,33006375.0,32316345.0,36378308.0
CNEDA,1,15959036.76,15276637.08,15882673.52,17589793.419999998,18692072.74
CNEDA,2,247637.12,821442.6,1493543.69,1306705.5,1396310.55
CNEDA,3,28008.35,40184.43,19265.25,32288.95,24305.71
CNEDA,4,2894530.02,2919861.18,2920351.35,2969592.2,3010513.61
CNEDA,5,2216413.05,2228420.67,2261675.91,2361072.9699999997,2209514.24
CNEDA,6,89577.96,91554.25,139267.85,123572.86,153125.22
CNEDA,7,102641.7,64572.61,77307.67,84370.26000000001,86138.49999999999
CNEDA,8,,,,499980.37,22926.57
CNEDA,9,88828.25,285506.70999999996,91203.35,199458.83000000002,132049.51
CNEDA,10,79470279.34,66516572.66,82080789.89,62129762.5,55182410.31
CNEDA,12,122332.25,126760.96,111264.55,61699.28999999998,67003.94999999995
CNMI,12,140567000.0,130809588.0,132120769.0,191685507.0,194973753.0
CPC,12,22209960.0,22210000.0,22210000.0,22210000.0,22210000.0
CPCC,1,9048520.16,9795936.17,11400414.28,13168896.84,14123734.7
CPCC,2,1326809.95,1656932.3900000001,2458015.71,2804548.87,2339025.14
CPCC,3,198043.03999999998,104257.18,967507.0199999999,159823.46,286962.68
CPCC,4,1914143.0,2236167.36,3423778.5,4991937.03,3831578.42
CPCC,5,1204136.77,1252454.62,1313672.32,1424978.4,1543329.88
CPCC,6,2612902.04,2930318.63,3012666.3999999994,3128644.1,3241813.16
CPCC,7,1503370.3599999999,1749139.86,2189265.32,2232077.8,2388768.41
CPCC,8,,,152637.31,,94910.99
CPCC,9,189495.29,878531.13,1200661.51,1577822.17,358145.11
CPCC,10,4162864.0,6724725.0,7783321.66,7746216.0,8074680.57
CPCC,12,114986.29,6835.81,232980.25,196753.43,184362.23
CRRF,12,,6180001.0,5115542.0,9000000.0,12092410.0
CRTC,1,61942636.25,63166250.98,65451653.970000006,78117523.11,95022464.49
CRTC,2,778917.19,841293.11,897978.14,1301988.71,1090220.89
CRTC,3,1717165.74,1747311.3,1721081.4,2071040.06,2509783.71
CRTC,4,4929563.28,5478349.59,5000337.02,5367840.890000001,4005459.29
CRTC,5,1062282.1199999999,1153194.68,1897179.02,2639314.3000000003,2211158.74
CRTC,6,313454.35,128087.64,417203.42,672157.17,2052183.53
CRTC,7,134710.37,92474.44,167397.79,156484.88,202073.79
CRTC,9,1303876.35,550233.5,1294000.11,1988672.2,2544157.34
CRTC,12,194713.49,189810.79,215298.09999999998,266516.7,123382.2
CRTC,21,-33042209.0,-59367925.0,-62036560.0,-72675390.14,-88492365.07
CSA,1,85768244.94,90485669.78999999,101644932.37,121772043.7,132264964.46
CSA,2,4872487.1899999995,5836347.04,8857391.040000001,8244178.41,7993411.54
CSA,3,2220958.0,1929567.2,2531743.37,3022160.43,2781443.44
CSA,4,127022284.10000001,162119489.76,278174989.01,219232955.14000002,387728751.90999997
CSA,5,3623196.46,5082017.95,5817266.17,7436535.09,5439796.85
CSA,6,3469710.33,1838891.04,4909506.0,6190256.77,7943525.99
CSA,7,1182936.82,1253221.83,1638985.02,1799357.69,1851868.31
CSA,8,,,1202940.65,,
CSA,9,18804371.36,10102556.64,5852505.17,7431240.24,6426765.26
CSA,10,80239449.56,86833742.63,85064525.81,72895683.79,79428211.77
CSA,12,3206013.54,2626645.19,2540710.71,2722798.27,2867801.12
CSC,1,2096998465.3600001,2039627795.06,2066940946.43,2278072426.71,2496858806.27
CSC,2,21013390.99,22952445.16,27346901.54,29624443.35,31244912.04
CSC,3,388331.85,588032.08,732114.18,782413.32,1415687.88
CSC,4,411599791.90999997,457225570.83,477941258.49,527414525.7,533554517.32
CSC,5,28065005.37,34333552.45,32671940.24,39484896.65,39462030.86
CSC,6,31550113.5,25757846.43,37524763.05,45327012.42,43432118.3
CSC,7,199173052.34,167233674.84,177532243.8,201102640.68,213495197.57
CSC,8,52039033.480000004,68906764.96000001,123376319.36,179881648.49,144333322.38
CSC,9,71848297.49,53248782.199999996,56206152.839999996,74078073.09,83110509.44
CSC,10,3726968.88,3471322.28,4961935.04,5620107.68,6046282.68
CSC,12,120566431.41,137205284.44,128770968.5,125438441.79,147078787.91
CSC,21,-5401768.430000001,-6770565.63,-7329693.52,-4188812.2199999997,-4680611.89
CSC,22,-100351027.92999999,-93857252.57,-111239037.25,-127675999.07,-134834144.21
CSEC,1,351359988.5,424686882.88,403836805.44,483990149.77,523227174.71000004
CSEC,8,11480984.370000001,12429274.99,13455891.19,14567302.0,15770512.0
CSEC,11,64859990.91,63911700.29,62885084.09,61773672.85,60570462.77
CSEC,12,365673519.48,315070117.59000003,467769686.17,468869617.78,509237360.15
CSEC,21,-327459.0,-343785.93,-644693.5,-651357.0,-819095.0
CSEC,22,-13361480.46,-14763483.94,-16054879.32,-17753408.549999997,-19454153.98
CSIS,1,417615370.33,404107049.19,415818325.21,557901209.24,493373883.73999995
CSIS,12,259284330.18,238065777.7,256628550.53,270508389.01,319643530.64
CTA,1,36192075.65,35524645.83,35063017.33,47719194.059999995,53924769.84
CTA,2,231640.99,128240.44,419954.01,491794.65,321618.9
CTA,3,361188.65,358706.05,432746.2,553290.28,545849.77
CTA,4,2101852.71,4511140.7,2610216.34,3418092.2,1403694.04
CTA,5,964289.21,1292285.78,1827240.67,1979064.1700000002,1968418.4600000002
CTA,6,107847.11,27309.940000000002,104060.17,118990.93000000001,69654.66
CTA,7,78778.97,60083.07,39683.99,50702.4,36666.51
CTA,9,1318519.92,966035.03,626336.22,870628.73,398741.92
