program_id,tag_id
H-BVG13,MOD004
EA-BZA01,MOD001
TC-BTW12,MOD001
FO-BTG06,MOD019
CFIA-BUH02,MOD001
HRSD-BGM02,MOD004
FO-BTF09,MOD020
EC-BGT01,MOD001
EC-BGS02,MOD005
FEDNO-BYL02,MOD005
ISC-BNP02,MOD019
ISC-BNN03,MOD005
CEAA-BGV04,MOD002
NBC-BFY01,MOD019
ND-BUN01,MOD020
ND-BUS06,MOD001
CHRC-BSC01,MOD001
AGR-BWO05,MOD005
NFB-BSM01,MOD019
GSC-BVW05,MOD020
CEO-BGG02,MOD019
HRSD-BGP04,MOD005
OICC-BTK09,MOD002
NR-BTM07,MOD019
CCRA-BRA07,MOD019
