"deptcode","activitycode","authority_2012","expenditure_2012","authority_2013","expenditure_2013","authority_2014","expenditure_2014","authority_2015","expenditure_2015","authority_2016","expenditure_2016","PlannedSpending_2017","PlannedSpending_2018","PlannedSpending_2019","PlannedSpending_1617"
"CMHR","ACW00",56935796,56935796,32016180,32016180,21700000,21700000,21700000,21700000,33604000,33604000,24865000.00,24865000.00,24865000.00,"."
"CMI","ADT00",9976473,9976473,18450000,18450000,9900000,9900000,7700000,7700000,7900000,7900000,7820000.00,7820000.00,7820000.00,"."
"CMN","ACV00",34370062,34370062,26770876,26770876,26276818,26276818,26452593,26452593,29770297,29770297,32515112.00,32515112.00,32515112.00,"."
"CNEDA","BMH00",23138172,22424611,22871242,21079728,".",".",".",".",".",".",".",".",".","."
"CNEDA","BMI00",21885735,20641500,21121362,19798350,".",".",".",".",".",".",".",".",".","."
"CNEDA","BMJ00",1859637,2006185,4136492,3226458,".",".",".",".",".",".",".",".",".","."
"CNEDA","CLA00",".",".",".",".",42352578,38684842,40559414,36670762,44870761,43871711,39880184.00,13761172.00,13761172.00,18108174.00
"CNEDA","CLB00",".",".",".",".",4702797,3955430,4857866,3949912,4213438,4101359,4222127.00,4259896.00,4368399.00,2013466.00
"CNEDA","ISC00",8148932,7316314,6186812,6674942,5630378,6480289,5958582,6327746,6739318,5665979,5978872.00,5975321.00,5975321.00,6111811.00
"CNMI","BJC00",185376000,184876000,154430000,154430000,127484000,127484000,374331000,350859000,146222000,98967000,76545000.00,76545000.00,76545000.00,"."
"CPC","ABU00",22210000,22210000,22210000,22210000,22210000,22210000,22210000,22210000,22210000,22210000,22210000.00,22210000.00,22210000.00,"."
"CPCC","AMW00",1134173,988110,2108888,2259236,2104613,2049937,1186672,1186672,".",".",".",".",".","."
"CPCC","DAT00",".",".",".",".",".",".",6709512,5391920,11562471,8581370,13599331.00,16336826.00,16336826.00,13679282.00
"CPCC","DAU00",".",".",".",".",".",".",1204015,1088049,3029312,2988507,3106557.00,4328366.00,4328366.00,2993760.00
"CPCC","ISC00",226368,329625,485048,330773,483764,305330,2054421,1907997,5127459,4296601,4888343.00,8189945.00,8189945.00,2802232.00
"CRTC","ACY00",9646050,7606154,".",".",".",".",".",".",".",".",".",".",".","."
"CRTC","ACZ00",3744485,3283869,".",".",".",".",".",".",".",".",".",".",".","."
