"DeptCode","SObj","TotalAuthorityCurrent","ExpenditureatquarterendCurrent","TotalExpenditureCurrent","TotalAuthorityPrevious","ExpenditureatquarterendPrevious","TotalExpenditurePrevious"
"INAC",3,9467000,270000,270000,23729000,576000,576000
"INAC",4,333819000,10603000,10603000,230137000,14759000,14759000
"INAC",5,17205000,1523000,1523000,29447000,2300000,2300000
"INAC",6,1791000,129000,129000,6602000,71000,71000
"INAC",7,3609000,325000,325000,7959000,370000,370000
"INAC",8,39238000,23000,23000,51307000,2168000,2168000
"INAC",9,4141000,109000,109000,2577000,306000,306000
"INAC",10,9757339000,1892147000,1892147000,7730381000,1782777000,1782777000
"INAC",12,156626000,31121000,31121000,179304000,25937000,25937000
"INAC",20,-710000,0,0,-710000,0,0
"IPC",1,25920000,7080000,7080000,26200000,7072000,7072000
"IPC",2,1048000,138000,138000,1042000,174000,174000
"IPC",3,786000,140000,140000,750000,126000,126000
"IPC",4,5028000,589000,589000,5294000,522000,522000
"IPC",5,1143000,355000,355000,982000,346000,346000
"IPC",6,318000,24000,24000,247000,60000,60000
"IPC",7,295000,26000,26000,271000,33000,33000
"IPC",8,0,0,0,0,0,0
"IPC",9,700000,21000,21000,635000,99000,99000
"IPC",10,500000,0,0,500000,10000,10000
"IPC",12,1000,20000,20000,3000,79000,79000
"IPC",20,-200000,0,0,-115000,0,0
"IRB",1,104457000,23826000,23826000,93138000,22540000,22540000
"IRB",2,2067000,397000,397000,1280000,409000,409000
"IRB",3,250000,67000,67000,210000,48000,48000
"IRB",4,19396000,2477000,2477000,16680000,2790000,2790000
"IRB",5,960000,310000,310000,810000,385000,385000
"IRB",6,500000,40000,40000,425000,15000,15000
"IRB",7,757000,122000,122000,640000,127000,127000
"IRB",9,2291000,26000,26000,1280000,49000,49000
"IRB",12,52000,216000,216000,40000,-3000,-3000
"ISC",1,506798000,129425000,129425000,501785000,118769000,118769000
"ISC",2,12288000,2442000,2442000,11756000,2360000,2360000
"ISC",3,8612000,1430000,1430000,8452000,1137000,1137000
"ISC",4,108944000,21362000,21362000,109031000,22289000,22289000
"ISC",5,14086000,3110000,3110000,12863000,4531000,4531000
"ISC",6,14496000,1821000,1821000,9272000,1032000,1032000
"ISC",7,8313000,911000,911000,7125000,910000,910000
"ISC",9,39906000,774000,774000,36531000,1669000,1669000
"ISC",10,2160234000,463871000,463871000,1457083000,139662000,139662000
"ISC",12,130000,2078000,2078000,199000,1289000,1289000
"ISC",20,-257687000,-54005000,-54005000,-252729000,-56550000,-56550000
"JUS",1,531325000,138480000,138480000,535275000,134041000,134041000
"JUS",2,8492000,1236000,1236000,7732000,1593000,1593000
"JUS",3,3231000,377000,377000,3308000,430000,430000
"JUS",4,37217000,4236000,4236000,38158000,4701000,4701000
"JUS",5,7063000,832000,832000,6237000,912000,912000
"JUS",6,4437000,98000,98000,5964000,192000,192000
"JUS",7,4418000,664000,664000,4648000,602000,602000
"JUS",9,5401000,261000,261000,6028000,401000,401000
"JUS",10,390315000,7848000,7848000,365234000,10815000,10815000
"JUS",12,6357000,1366000,1366000,2479000,494000,494000
"JUS",20,-296200000,-18805000,-18805000,-296200000,-41510000,-41510000
"LAC",1,76047312,19025380,19025380,68243232,18356297,18356297
"LAC",2,155361,190271,190271,1111180,208856,208856
