dept_code,dimensions,ppl_last_year_5,ppl_last_year_4,ppl_last_year_3,ppl_last_year_2,ppl_last_year,avg_share
TBC,non,1672,1590,1584,1548,1647,0.89663
TC,ex1,101,96,99,105,89,0.01985
TC,ex2,46,45,46,47,48,0.0094
TC,ex3,28,28,27,31,28,0.00575
TC,ex4,1,2,3,3,3,0.00049
TC,ex5,4,2,2,4,3,0.00061
TC,non,4598,4598,5028,4964,4611,0.96391
TRC,ex1,2,.,.,.,.,0.04082
TRC,ex3,1,1,1,.,.,0.06122
TRC,non,22,14,8,.,.,0.89796
VAC,ex1,26,33,26,34,35,0.00951
VAC,ex2,12,11,10,13,13,0.00365
VAC,ex3,7,11,12,14,13,0.00352
VAC,ex4,2,2,4,4,3,0.00093
VAC,ex5,1,.,.,.,1,0.00012
VAC,non,3554,3131,3122,3348,2744,0.98227
VRAB,ex1,.,.,.,.,1,0.01163
VRAB,ex3,.,.,.,.,1,0.01163
VRAB,non,.,.,.,.,84,0.97674
WDO,ex1,9,9,9,10,10,0.0309
WDO,ex2,7,10,7,7,8,0.02564
WDO,ex3,2,1,1,1,1,0.00394
WDO,ex4,5,5,5,4,3,0.01446
WDO,non,312,293,275,270,257,0.92505
JJJ,non,1100,1110,1144,1141,1128,1
