dept_code,dimension,ppl_last_year_5,ppl_last_year_4,ppl_last_year_3,ppl_last_year_2,ppl_last_year,avg_share
SC,ex3,18,18,16,18,19,0.00261
SC,ex4,5,5,5,5,5,0.00073
SC,non,6427,6453,7340,6898,6633,0.9882
SCC,ex1,3,3,3,6,5,0.01835
SCC,ex2,1,1,.,.,.,0.00183
SCC,ex3,.,.,1,1,1,0.00275
SCC,non,215,209,208,209,224,0.97706
SHARE,ex1,37,40,38,40,43,0.00737
SHARE,ex2,42,40,35,35,43,0.00726
SHARE,ex3,30,26,24,27,30,0.0051
SHARE,ex4,3,1,2,4,3,0.00048
SHARE,ex5,4,3,2,1,2,0.00045
SHARE,non,5278,5126,5056,5150,5695,0.97934
SIRC,ex1,1,1,1,1,2,0.05941
SIRC,ex4,1,1,1,1,1,0.0495
SIRC,non,14,16,18,20,22,0.89109
SSHRC,ex1,7,5,6,6,6,0.02871
SSHRC,ex2,4,4,4,3,3,0.01722
SSHRC,ex3,.,3,2,3,3,0.01053
SSHRC,ex4,1,.,1,1,1,0.00383
SSHRC,ex5,.,1,1,1,1,0.00383
SSHRC,non,193,196,196,197,196,0.93589
SWC,ex1,.,1,2,2,2,0.01397
SWC,ex2,3,4,4,3,4,0.03593
SWC,non,95,87,85,94,115,0.9501
TBC,ex1,94,83,83,87,98,0.04911
TBC,ex2,35,34,32,37,51,0.02086
TBC,ex3,38,37,41,41,46,0.0224
TBC,ex4,9,13,13,18,16,0.00761
TBC,ex5,12,10,11,11,13,0.00629
TBC,non,1590,1584,1548,1647,1730,0.89373
TC,ex1,96,99,105,89,91,0.01899
TC,ex2,45,46,47,48,43,0.00906
TC,ex3,28,27,31,28,30,0.0057
TC,ex4,2,3,3,3,3,0.00055
TC,ex5,2,2,4,3,3,0.00055
TC,non,4598,5028,4964,4611,5192,0.96514
TRC,ex3,1,1,.,.,.,0.08333
TRC,non,14,8,.,.,.,0.91667
VAC,ex1,33,26,34,35,35,0.0106
VAC,ex2,11,10,13,13,15,0.00403
VAC,ex3,11,12,14,13,12,0.00403
VAC,ex4,2,4,4,3,4,0.00111
VAC,ex5,.,.,.,1,1,0.00013
VAC,non,3131,3122,3348,2744,2733,0.98011
VRAB,ex1,.,.,.,1,3,0.02339
VRAB,ex3,.,.,.,1,1,0.0117
VRAB,non,.,.,.,84,81,0.96491
WDO,ex1,9,9,10,10,9,0.03159
WDO,ex2,10,7,7,8,6,0.02554
WDO,ex3,1,1,1,1,1,0.00336
WDO,ex4,5,5,4,3,4,0.01411
WDO,non,293,275,270,257,282,0.9254
ZGOC,ex1,3342,3272,3284,3303,3389,0.01267
ZGOC,ex2,1562,1590,1631,1689,1722,0.00626
ZGOC,ex3,1079,1076,1096,1086,1140,0.00418
ZGOC,ex4,262,279,269,271,293,0.00105
ZGOC,ex5,132,123,134,131,134,0.0005
ZGOC,non,250761,250694,252565,256216,266893,0.97534
