dept_code,dimension,ppl_last_year_5,ppl_last_year_4,ppl_last_year_3,ppl_last_year_2,ppl_last_year
NRC,age55to59,458,497,507,521,542
NRC,age60to64,212,211,226,233,254
NRC,age65plus,121,100,93,99,91
NRTEE,age55to59,2,.,.,.,.
NRTEE,age60to64,1,.,.,.,.
NSERC,age20less,1,.,.,1,2
NSERC,age20to24,16,22,25,24,18
NSERC,age25to29,40,37,40,35,36
NSERC,age30to34,56,52,51,58,48
NSERC,age35to39,61,57,59,73,78
NSERC,age40to44,63,66,66,63,67
NSERC,age45to49,59,61,56,54,54
NSERC,age50to54,72,68,63,74,67
NSERC,age55to59,27,35,43,44,53
NSERC,age60to64,10,9,11,13,15
NSERC,age65plus,2,2,4,5,4
OAG,age20less,.,1,.,.,.
OAG,age20to24,24,14,21,37,37
OAG,age25to29,93,90,74,77,91
OAG,age30to34,95,74,75,81,90
OAG,age35to39,90,96,93,95,84
OAG,age40to44,72,76,72,75,98
OAG,age45to49,91,83,84,73,66
OAG,age50to54,77,74,71,72,77
OAG,age55to59,55,60,61,53,49
OAG,age60to64,13,13,20,22,23
OAG,age65plus,1,.,.,3,2
OCI,age20to24,2,5,3,3,2
OCI,age25to29,5,4,2,3,2
OCI,age30to34,4,7,7,7,6
